TrainNum,TrainType,A_ArrivalTime,A_AvailCap,A_Boarding,B_ArrivalTime,B_AvailCap,B_Boarding,C_ArrivalTime,C_AvailCap,C_Boarding,U_Arrival,U_AvailCap,U_Offloading
1,L4,7:00,200,25,7:11,175,125,7:23,50,50,7:37,0,200
2,L8,7:10,400,50,7:21,350,100,7:33,250,250,7:47,0,400
3,L8,7:15,400,0,7:26,400,0,7:38,400,200,7:52,200,200
4,L8,7:20,400,75,7:31,325,125,7:43,200,200,7:57,0,400
5,L8,7:30,400,100,7:41,300,150,7:53,150,150,8:07,0,400
6,L8,7:40,400,125,7:51,275,175,8:03,100,100,8:17,0,400
7,L8,7:50,400,150,8:01,250,150,8:13,100,100,8:27,0,400
8,L8,8:00,400,125,8:11,275,125,8:23,150,150,8:37,0,400
9,L8,8:10,400,100,8:21,300,100,8:33,200,200,8:47,0,400
10,L8,8:20,400,75,8:31,325,100,8:43,225,225,8:57,0,400
11,L8,8:30,400,50,8:41,350,75,8:53,275,100,9:07,175,225
12,L8,8:45,400,45,8:56,355,75,9:08,280,50,9:22,230,170
13,L8,9:10,400,105,9:21,295,130,9:33,165,135,9:47,30,370
14,L4,9:30,200,45,9:41,155,45,9:53,110,65,10:07,45,155
15,L4,9:40,200,15,9:51,185,15,10:03,170,25,10:17,145,55
16,L4,10:00,200,15,10:11,185,10,10:23,175,0,10:37,175,25
