TrainNum,TrainType,A_ArrivalTime,A_AvailCap,A_Boarding,B_ArrivalTime,B_AvailCap,B_Boarding,C_ArrivalTime,C_AvailCap,C_Boarding,U_Arrival,U_AvailCap,U_Offloading
1,L8,7:00,400,25,7:11,375,125,7:23,250,250,7:37,0,400
2,L8,7:17,400,50,7:28,350,100,7:40,250,250,7:54,0,400
3,L8,7:20,400,75,7:31,325,125,7:43,200,200,7:57,0,400
4,L4,7:27,200,0,7:38,200,0,7:50,200,200,8:04,0,200
5,L8,7:37,400,100,7:48,300,150,8:00,150,150,8:14,0,400
6,L8,7:40,400,125,7:51,275,175,8:03,100,75,8:17,25,375
7,L8,7:49,400,0,8:00,400,150,8:12,250,150,8:26,100,300
8,L8,7:57,400,150,8:08,250,0,8:20,250,150,8:34,100,300
9,L4,8:00,200,125,8:11,75,75,8:23,0,0,8:37,0,200
10,L8,8:10,400,100,8:21,300,150,8:33,150,125,8:47,25,375
11,L8,8:19,400,0,8:30,400,100,8:42,300,100,8:56,200,200
12,L4,8:30,200,125,8:41,75,75,8:53,0,0,9:07,0,200
13,L8,8:40,400,45,8:51,355,75,9:03,280,125,9:17,155,245
14,L8,9:00,400,75,9:11,325,95,9:23,230,95,9:37,135,265
15,L8,9:20,400,55,9:31,345,60,9:43,285,75,9:57,210,190
16,L4,10:00,200,50,10:11,150,45,10:23,105,55,10:37,50,150
